,tweet_count,City,tweet_text,date,hashtags,link
7,0,New York,@LaserShipAssist @LaserShip it’s 9:45 pm and as a security officer I have a job to do if no attempts is made and my package ends up in an @amazon #amazonlocker I will be requesting a refund ,2019-05-27 01:48:05+00:00,#amazonlocker,https://twitter.com/CEOEnterpriseNX/status/1132825769544171520
8,1,New York,"As if I didn’t love @amazon enough, they gave me yet another reason with their #AmazonLocker at @Coachella this year. Order from the http://Amazon.com/Coachella store and have it delivered straight to the festival! Learn more in today's blog post: https://ohanthonio.com/2019/04/17/amazon-lockers-at-coachella/ #ad",2019-04-18 15:20:16+00:00,#AmazonLocker #ad,https://twitter.com/oh_anthonio/status/1118897036517105666
14,0,Los Angeles,"@Amazon making moves this #FestivalSZN with lockers at @Coachella. Order from your phone, and pick up SAME DAY, INSIDE THE VENUE.. Perfect for last-minute purchases, things you may forget, or simply to avoid carrying through lines. #AmazonLocker #Coachella2019 #Giveaway",2019-03-30 05:17:45+00:00,#FestivalSZN #AmazonLocker #Coachella2019 #Giveaway,https://twitter.com/shafkababs/status/1111860039801659392
15,1,Los Angeles,You might be wondering why I’m shooting some fashion photos in front of @amazon lockers on Hollywood Blvd - &amp; it’s because I’m trying to score some incredible Coachella passes. WISH ME LUCK WITH MY DREAM!! #coachella #amazonlocker #giveaway,2019-03-25 15:43:57+00:00,#coachella #coachella #amazonlocker #giveaway,https://twitter.com/saracmartin/status/1110205687177465856
16,2,Los Angeles,Hello decaf #amazonlocker @400 South Hope https://www.instagram.com/p/Bq3fn_jjU6C/?utm_source=ig_twitter_share&amp;igshid=v3k5x946z5rz,2018-12-02 01:49:30+00:00,#amazonlocker,https://twitter.com/banditapple/status/1069045863434072064
17,3,Los Angeles,Hello Arlie & Grinch #amazonlocker @Laundry Breeze https://www.instagram.com/p/BqtZcMbjrKA/?utm_source=ig_twitter_share&amp;igshid=16piw9owhi3ee,2018-11-28 03:43:01+00:00,#amazonlocker,https://twitter.com/banditapple/status/1067624881343336449
18,4,Los Angeles,Hello downtown #amazonlocker @Whole Foods Market https://www.instagram.com/p/Bqqh8XGjzpb/?utm_source=ig_twitter_share&amp;igshid=keq1b1mfo2dy,2018-11-27 00:59:37+00:00,#amazonlocker,https://twitter.com/banditapple/status/1067221371971878915
19,5,Los Angeles,"Hello kiddo #amazonlocker @Beverly Hills, California https://www.instagram.com/p/Bqm623HDBsY/?utm_source=ig_twitter_share&amp;igshid=l50cliv9aalv",2018-11-25 15:20:20+00:00,#amazonlocker,https://twitter.com/banditapple/status/1066713201503436800
20,6,Los Angeles,An #AmazonLocker popped up at my local #711. I'd always wondered how these things worked.… https://www.instagram.com/p/BWoXr36FvoO/,2017-07-17 02:23:33+00:00,#AmazonLocker,https://twitter.com/MyxlDove/status/886773334318489600
21,0,San Francisco,#amazonlocker#shirleyamazon#packyourshitandget @Ghirardelli Square https://www.instagram.com/p/B32SHoHhkbc/?igshid=4x7fdppqad0x,2019-10-20 17:20:17+00:00,,https://twitter.com/fohfolies/status/1185968995381346305
28,0,Chicago,"@amazon had trouble delivering my package to... Wait for it... An #AmazonLocker. Wait, what?",2019-09-20 00:28:39+00:00,#AmazonLocker,https://twitter.com/BlainPlanes/status/1174842775847804928
29,1,Chicago,"#amazonlocker #coachella #giveaway dreaming of getting out of the cold here in Chicago, seeing all my favorite bands, and if I win I can send my future self all the necessary festival essentials thanks to @amazon",2019-04-03 07:04:14+00:00,#amazonlocker #coachella #coachella #giveaway,https://twitter.com/discocritique/status/1113336387829358594
30,2,Chicago,"Picking up an order from the #AmazonLocker. Pretty handy, for small items. (@Whole Foods Market - @wholefoodschi in Chicago, IL) ",2019-02-21 21:51:20+00:00,#AmazonLocker,https://twitter.com/Kellisanth/status/1098701730131439625
56,0,London,Did you know you can order from amazon and collect from our locker 'BIDANI' at a time that suits you. Located on Level 1 near the car park. #amazon #amazonlocker ##shopping #amazonlockers #ilford @Ilford Exchange… https://www.instagram.com/p/B24gHdyF8nA/?igshid=w40uqvysl2fg,2019-09-26 17:29:43+00:00,#amazon #amazonlocker #shopping #amazonlockers #ilford,https://twitter.com/ExchangeIlford/status/1177274059828150273
57,1,London,Did you know you can order from amazon and collect from our locker 'BIDANI' at a time that suits you. Located on Level 1 near the car park. #amazon #amazonlocker ##shopping #amazonlockers #ilford @Ilford Exchange… https://www.instagram.com/p/B2YtYS3ldaa/?igshid=4cxhkq00zk39,2019-09-14 09:09:53+00:00,#amazon #amazonlocker #shopping #amazonlockers #ilford,https://twitter.com/ExchangeIlford/status/1172799619547455494
58,2,London,Did you know you can order from amazon and collect from our locker 'BIDANI' at a time that suits you. Located on Level 1 near the car park. #amazon #amazonlocker #bidani #shopping #amazonlockers @Exchange Ilford https://www.instagram.com/p/B16fbyTFb7D/?igshid=uptxds8jbj6t,2019-09-02 15:30:50+00:00,#amazon #amazonlocker #bidani #shopping #amazonlockers,https://twitter.com/ExchangeIlford/status/1168546832374534146
