"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"AwwFriend";"Michael C.";"16015732";"132189413013864448";"/AwwFriend/status/132189413013864448";"2011-11-03 20:16:26";1320351386;"I kind of want to buy something from @amazon to try out the new #amazonlocker.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I kind of want to buy something from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> to try out the new <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a>.</p>";"[]";"['amazonlocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"dailytechnika";"technika";"371734648";"132188232271151104";"/dailytechnika/status/132188232271151104";"2011-11-03 20:11:45";1320351105;"#Amazon's #Shipping Lockers Are Live in NYC [Amazon] http://goo.gl/5kRml  #amazonlocker #packages";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b>Amazon</b></a>'s <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Shipping?src=hash""><s>#</s><b>Shipping</b></a> Lockers Are Live in NYC [Amazon] <a class=""twitter-timeline-link"" data-expanded-url=""http://goo.gl/5kRml"" dir=""ltr"" href=""http://t.co/na1EcJYS"" rel=""nofollow noopener"" target=""_blank"" title=""http://goo.gl/5kRml""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">goo.gl/5kRml</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/packages?src=hash""><s>#</s><b>packages</b></a></p>";"['http://goo.gl/5kRml']";"['Amazon', 'Shipping', 'amazonlocker', 'packages']";False;"[]";"";0;0;0;False;False;"";"[]"
"bhwags";"Brian Wagner";"311700692";"132181591651913728";"/bhwags/status/132181591651913728";"2011-11-03 19:45:21";1320349521;"#AmazonLocker has the potential to be the greatest thing ever. Goodbye, Lerner package center. I'm so over you.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> has the potential to be the greatest thing ever. Goodbye, Lerner package center. I'm so over you.</p>";"[]";"['AmazonLocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"theolynn";"Theo Lynn";"22193590";"130588024928083968";"/theolynn/status/130588024928083968";"2011-10-30 10:13:06";1319969586;"@benwhelanlive no but #amazonlocker ideal for universities @EdLeamy";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""381200044"" dir=""ltr"" href=""/benwhelanlive""><s>@</s><b>benwhelanlive</b></a> no but <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> ideal for universities <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""169061145"" dir=""ltr"" href=""/EdLeamy""><s>@</s><b>EdLeamy</b></a></p>";"[]";"['amazonlocker']";False;"[]";"";0;0;0;False;True;"130580639668912128";"[{'screen_name': 'benwhelanlive', 'user_id': '381200044'}]"
"JadiKnight";"Julian A D Harris";"8796302";"127325257420910592";"/JadiKnight/status/127325257420910592";"2011-10-21 10:08:01";1319191681;"Anyone used Amazon Locker? #AmazonLocker http://twitpic.com/73h7re ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Anyone used Amazon Locker? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://twitpic.com/73h7re"" dir=""ltr"" href=""http://t.co/ROIxWqI3"" rel=""nofollow noopener"" target=""_blank"" title=""http://twitpic.com/73h7re""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">twitpic.com/73h7re</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://twitpic.com/73h7re']";"['AmazonLocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"DGJury";"Mysolation";"22900135";"122367466025402368";"/DGJury/status/122367466025402368";"2011-10-07 17:47:32";1318009652;"#amazonlocker at Lakeside Shopping Centre pic.twitter.com/4JFGtQCg";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> at Lakeside Shopping Centre <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/4JFGtQCg"">pic.twitter.com/4JFGtQCg</a></p>";"[]";"['amazonlocker']";True;"['https://pbs.twimg.com/media/AbK8j-DCQAEI01p.jpg']";"";0;1;2;True;False;"";"[]"
"Bingy";"Andi Chandler";"8356912";"118601575915724800";"/Bingy/status/118601575915724800";"2011-09-27 08:23:13";1317111793;"Amazon Locker seen between Lakeside and Chafford Hundred Station #AmazonLocker #amazon #rollout #new http://yfrog.com/kgn0ydpj ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Amazon Locker seen between Lakeside and Chafford Hundred Station <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazon?src=hash""><s>#</s><b>amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rollout?src=hash""><s>#</s><b>rollout</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/new?src=hash""><s>#</s><b>new</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://yfrog.com/kgn0ydpj"" dir=""ltr"" href=""http://t.co/fVMqItk0"" rel=""nofollow noopener"" target=""_blank"" title=""http://yfrog.com/kgn0ydpj""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">yfrog.com/kgn0ydpj</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://yfrog.com/kgn0ydpj']";"['AmazonLocker', 'amazon', 'rollout', 'new']";False;"[]";"";0;0;0;False;False;"";"[]"
"stephenbarros";"Stephen Barros";"18290069";"597170639124959232";"/stephenbarros/status/597170639124959232";"2015-05-09 22:45:49";1431211549;"How come I haven't used this sooner?! This service is pretty convenient. #amazonlocker @ 7-Eleven https://instagram.com/p/2enoUrIoyC/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How come I haven't used this sooner?! This service is pretty convenient. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> @ 7-Eleven <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/2enoUrIoyC/"" dir=""ltr"" href=""https://t.co/At4HNmCbhD"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/2enoUrIoyC/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/2enoUrIoyC/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/2enoUrIoyC/']";"['amazonlocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"hotkaraage";"ほっとカラあげ";"3019217292";"595916268990898176";"/hotkaraage/status/595916268990898176";"2015-05-06 11:41:24";1430912484;"#はこぽす を見て思い出したのは #amazonlocker
http://bit.ly/1Rcp9SC 
あっちは大きさ別にロッカーを揃えている　楽天が真似たといえなくもないな";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%AF%E3%81%93%E3%81%BD%E3%81%99?src=hash""><s>#</s><b>はこぽす</b></a> を見て思い出したのは <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1Rcp9SC"" dir=""ltr"" href=""http://t.co/aC7QNwRqNE"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1Rcp9SC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1Rcp9SC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
あっちは大きさ別にロッカーを揃えている　楽天が真似たといえなくもないな</p>";"['http://bit.ly/1Rcp9SC']";"['はこぽす', 'amazonlocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"itsjoep";"Joe Pendlebury";"3050904891";"592304615569367040";"/itsjoep/status/592304615569367040";"2015-04-26 12:29:59";1430051399;"Fantastic first experience with #AmazonLocker. Parcel collected in under 10 secs. Now need to make it more widely available across the UK!";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Fantastic first experience with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a>. Parcel collected in under 10 secs. Now need to make it more widely available across the UK!</p>";"[]";"['AmazonLocker']";False;"[]";"";0;0;0;False;False;"";"[]"
