"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"_IvyAi";"Ivy";"1059233426509910016";"1250500906396921856";"/_IvyAi/status/1250500906396921856";"2020-04-15 19:07:03";1586977623;"Considering getting my packages to an #Amazonlocker now ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Considering getting my packages to an <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazonlocker?src=hash""><s>#</s><b><strong>Amazonlocker</strong></b></a> now <img alt=""😔"" aria-label=""Emoji: Pensive face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f614.png"" title=""Pensive face""/></p>";"[]";"['Amazonlocker']";False;"[]";"";1;0;1;True;False;"";"[]"
"techtomdotnet";"Tom Hill";"139790753";"1244684989398204416";"/techtomdotnet/status/1244684989398204416";"2020-03-30 17:56:41";1585591001;"@friarswalk thanks for a wasted journey to collect essential supplies from #amazonlocker. All doors locked. pic.twitter.com/KiS3O9kZtD";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2890639061"" dir=""ltr"" href=""/friarswalk""><s>@</s><b>friarswalk</b></a> thanks for a wasted journey to collect essential supplies from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a>. All doors locked. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KiS3O9kZtD"">pic.twitter.com/KiS3O9kZtD</a></p>";"[]";"['amazonlocker']";True;"['https://pbs.twimg.com/media/EUYCZdaXQAc1rDT.jpg']";"";0;0;1;True;False;"";"[]"
"TheTaylorKnight";"Taylor Knight";"43211901";"1243695214277074944";"/TheTaylorKnight/status/1243695214277074944";"2020-03-28 00:23:40";1585355020;"So that’s where Thanos keeps his Infinity Gaunlet #Avengers #Marvel #AmazonLocker https://www.instagram.com/p/B-Qc9lyjhQN/?igshid=oq4l8syp4o9l …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So that’s where Thanos keeps his Infinity Gaunlet <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b>Avengers</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B-Qc9lyjhQN/?igshid=oq4l8syp4o9l"" dir=""ltr"" href=""https://t.co/bNCYIc1Q8d"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B-Qc9lyjhQN/?igshid=oq4l8syp4o9l""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B-Qc9lyjhQN/</span><span class=""invisible"">?igshid=oq4l8syp4o9l</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.instagram.com/p/B-Qc9lyjhQN/?igshid=oq4l8syp4o9l']";"['Avengers', 'Marvel', 'AmazonLocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"TheTaylorKnight";"Taylor Knight";"43211901";"1243693977582387201";"/TheTaylorKnight/status/1243693977582387201";"2020-03-28 00:18:45";1585354725;"So that’s where Thanos keeps his Infinity Gaunlet #Avengers #Marvel #AmazonLocker pic.twitter.com/H6ISMASwGb";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So that’s where Thanos keeps his Infinity Gaunlet <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b>Avengers</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/H6ISMASwGb"">pic.twitter.com/H6ISMASwGb</a></p>";"[]";"['Avengers', 'Marvel', 'AmazonLocker']";True;"['https://pbs.twimg.com/media/EUJ9E_yX0AcEWnM.jpg']";"";0;0;0;False;False;"";"[]"
"OneStonegrove";"OneStonegrove #StayHomeSaveLives";"4264392983";"1243452799108689921";"/OneStonegrove/status/1243452799108689921";"2020-03-27 08:20:24";1585297224;"Hi @amazon how do we suspend the #AmazonLocker in our building, as we are closed due to #Coronavirus?";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> how do we suspend the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> in our building, as we are closed due to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Coronavirus?src=hash""><s>#</s><b>Coronavirus</b></a>?</p>";"[]";"['AmazonLocker', 'Coronavirus']";False;"[]";"";0;0;0;False;False;"";"[]"
"latinxwriter";"LA-X";"965382281052475392";"1242911033888362496";"/latinxwriter/status/1242911033888362496";"2020-03-25 20:27:37";1585168057;"What's going on #AmazonLocker? Got #AmazonPrime for 2 day delivery- 7 days later @amazon can't deliver to their own #AmazonHub. Don't want refund- need my #SelfQuarantine supply you already charged my credit card for & I need #LALockdown. Wasting fuel NOT delivering twice now.pic.twitter.com/QrJZlaGuQW";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What's going on <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a>? Got <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonPrime?src=hash""><s>#</s><b>AmazonPrime</b></a> for 2 day delivery- 7 days later <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> can't deliver to their own <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonHub?src=hash""><s>#</s><b>AmazonHub</b></a>. Don't want refund- need my <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SelfQuarantine?src=hash""><s>#</s><b>SelfQuarantine</b></a> supply you already charged my credit card for &amp; I need <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LALockdown?src=hash""><s>#</s><b>LALockdown</b></a>. Wasting fuel NOT delivering twice now.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/QrJZlaGuQW"">pic.twitter.com/QrJZlaGuQW</a></p>";"[]";"['AmazonLocker', 'AmazonPrime', 'AmazonHub', 'SelfQuarantine', 'LALockdown']";True;"['https://pbs.twimg.com/media/ET-0_fuUEAA-XJC.jpg']";"";0;0;1;True;False;"";"[]"
"littlewaltercon";"Walter";"3111938250";"1241840844023271424";"/littlewaltercon/status/1241840844023271424";"2020-03-22 21:35:04";1584912904;"I had to leave the house to get my Amazon order. Bath soap is a necessity. I was on my last bar. Things were going to get smelly. #shelteringinplace #amazonlocker #necessitypic.twitter.com/D3gCKhYvhD";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I had to leave the house to get my Amazon order. Bath soap is a necessity. I was on my last bar. Things were going to get smelly. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/shelteringinplace?src=hash""><s>#</s><b>shelteringinplace</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/necessity?src=hash""><s>#</s><b>necessity</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/D3gCKhYvhD"">pic.twitter.com/D3gCKhYvhD</a></p>";"[]";"['shelteringinplace', 'amazonlocker', 'necessitypic']";True;"['https://pbs.twimg.com/media/ETvVoEqUcAEr1BP.jpg', 'https://pbs.twimg.com/media/ETvVoFNUUAARjG0.jpg']";"";21;1;2;True;False;"";"[]"
"ExchangeIlford";"Exchange, Ilford";"259222482";"1241062416303063050";"/ExchangeIlford/status/1241062416303063050";"2020-03-20 18:01:52";1584727312;"Don't forget we have BIDANI the Amazon Locker available on Level 1 for you to pick up your Amazon parcels from with just the scan of a barcode!! 
#amazon #bidani #amazonlocker #parcels #order #shop #locker… https://www.instagram.com/p/B99vtMll5vY/?igshid=199i0n3d5qeld …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Don't forget we have BIDANI the Amazon Locker available on Level 1 for you to pick up your Amazon parcels from with just the scan of a barcode!! <img alt=""🧾"" aria-label=""Emoji: Receipt"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f9fe.png"" title=""Receipt""/><img alt=""🏷"" aria-label=""Emoji: Label"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f3f7.png"" title=""Label""/>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazon?src=hash""><s>#</s><b>amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bidani?src=hash""><s>#</s><b>bidani</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/parcels?src=hash""><s>#</s><b>parcels</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/order?src=hash""><s>#</s><b>order</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/shop?src=hash""><s>#</s><b>shop</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/locker?src=hash""><s>#</s><b>locker</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B99vtMll5vY/?igshid=199i0n3d5qeld"" dir=""ltr"" href=""https://t.co/yovPsKPF2J"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B99vtMll5vY/?igshid=199i0n3d5qeld""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B99vtMll5vY/</span><span class=""invisible"">?igshid=199i0n3d5qeld</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.instagram.com/p/B99vtMll5vY/?igshid=199i0n3d5qeld']";"['amazon', 'bidani', 'amazonlocker', 'parcels', 'order', 'shop', 'locker']";False;"[]";"";1;0;0;False;False;"";"[]"
"natylaru7";"Natalya Sofía 💜";"36404777";"1233202763540111360";"/natylaru7/status/1233202763540111360";"2020-02-28 01:30:25";1582853425;"Hey @amazon, that top locker, no bueno. #amazonlocker #shortpeopleproblemspic.twitter.com/caB8kJuDBI";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hey <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a>, that top locker, no bueno. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/shortpeopleproblems?src=hash""><s>#</s><b>shortpeopleproblems</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/caB8kJuDBI"">pic.twitter.com/caB8kJuDBI</a></p>";"[]";"['amazonlocker', 'shortpeopleproblemspic']";True;"['https://pbs.twimg.com/media/ER03X4pUYAAa2KX.jpg']";"";3;0;1;True;False;"";"[]"
"sjboxoffice";"sonjajakovljevflash";"615494503";"1233189289690828802";"/sjboxoffice/status/1233189289690828802";"2020-02-28 00:36:52";1582850212;"Now I know all about abortion of my “pimp my toilet  “ plan 
#TheGym #AmazonLocker pic.twitter.com/jqJKspZ80m";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Now I know all about abortion of my “pimp my toilet <img alt=""🚾"" aria-label=""Emoji: Water closet"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6be.png"" title=""Water closet""/> “ plan 
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TheGym?src=hash""><s>#</s><b>TheGym</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jqJKspZ80m"">pic.twitter.com/jqJKspZ80m</a></p>";"[]";"['TheGym', 'AmazonLocker']";True;"['https://pbs.twimg.com/media/ER0rHacU4AAQBqy.jpg']";"";0;0;0;False;False;"";"[]"
